seg_id,env,source_file,gesture_name,label,duration_ms,npy_path,MAV_CH1,MAV_CH3,MAV_CH5,WL_CH1,WL_CH3,WL_CH5,Ratio_CH1,Ratio_CH3,Ratio_CH5
uv_radiation_1_seg000,uv_radiation,1.csv,1,0,773.0,processed/segments/uv_radiation/1_seg000.npy,0.08266935519495801,0.0113141472037875,0.02569115478366632,65.74389894529061,10.996962758094643,23.279057424455978,0.6753642039343462,0.10177625326450013,0.22285954280115375
uv_radiation_1_seg001,uv_radiation,1.csv,1,0,385.0,processed/segments/uv_radiation/1_seg001.npy,0.0695190089865473,0.014444728838876436,0.025112544643009535,60.59924073758155,12.560719193504806,23.35999264173223,0.6093142952126036,0.14788816319585238,0.242797541591544
uv_radiation_1_seg002,uv_radiation,1.csv,1,0,540.0,processed/segments/uv_radiation/1_seg002.npy,0.07490491181892918,0.017846744218619343,0.03178473957328549,63.952798032426315,15.822757410796713,29.043071096379222,0.5814102516600033,0.15049953006062985,0.26809021827936697
uv_radiation_1_seg003,uv_radiation,1.csv,1,0,287.0,processed/segments/uv_radiation/1_seg003.npy,0.08078555660178868,0.017603604869134752,0.03733909435237902,69.19144641707685,15.943261528703633,36.58256395963332,0.5757515312931325,0.1351628766078078,0.28908559209905965
uv_radiation_1_seg004,uv_radiation,1.csv,1,0,404.0,processed/segments/uv_radiation/1_seg004.npy,0.0744947661459401,0.01574725238884556,0.030984043370918417,60.77827802073379,13.513228487734416,28.46182685649518,0.5828884079731992,0.14190121599826164,0.27521037602853904
uv_radiation_2_seg000,uv_radiation,2.csv,2,1,702.0,processed/segments/uv_radiation/2_seg000.npy,0.06267585257762928,0.022200715405277714,0.050828034124755735,45.66037188360312,19.170518079512398,53.671718450232305,0.41509435725006405,0.17175541073639722,0.4131502320135387
uv_radiation_2_seg001,uv_radiation,2.csv,2,1,619.0,processed/segments/uv_radiation/2_seg001.npy,0.08658109865742732,0.029787030009590865,0.07601568416380727,73.60822743578571,26.874875342833043,81.59217802740135,0.42827209115169296,0.15932650416283256,0.4124014046854745
uv_radiation_2_seg002,uv_radiation,2.csv,2,1,508.0,processed/segments/uv_radiation/2_seg002.npy,0.07888368371241093,0.03280480695651191,0.08932271805897692,70.09236454600664,27.568541429049837,86.7411550015512,0.37429674777187616,0.1625307559870986,0.4631724962410253
uv_radiation_2_seg003,uv_radiation,2.csv,2,1,703.0,processed/segments/uv_radiation/2_seg003.npy,0.0608876441181024,0.021463712339834424,0.054506862138130066,48.442012106678725,19.025204343136682,57.93412253187675,0.39484560853723744,0.16023676693413094,0.44491762452863165
uv_radiation_2_seg004,uv_radiation,2.csv,2,1,1154.0,processed/segments/uv_radiation/2_seg004.npy,0.04163588042339738,0.020417509793391513,0.0512707929333027,39.986778988029414,17.2043870437557,54.17767834794258,0.31896490176760683,0.18133588413284676,0.4996992140995465
uv_radiation_2_seg005,uv_radiation,2.csv,2,1,625.0,processed/segments/uv_radiation/2_seg005.npy,0.08275705864826079,0.035001741169625095,0.08917144205734019,68.99464738795805,28.018539765157033,88.34254912552876,0.38144369164266134,0.16575107769953137,0.45280523065780737
uv_radiation_3_seg000,uv_radiation,3.csv,3,2,508.0,processed/segments/uv_radiation/3_seg000.npy,0.08428015954390287,0.038488317538610456,0.15329727041133262,69.91327577805751,31.339493641329934,145.10829730805094,0.29354910053969485,0.1395260947924003,0.5669248046679047
uv_radiation_3_seg001,uv_radiation,3.csv,3,2,1028.0,processed/segments/uv_radiation/3_seg001.npy,0.08060052912814798,0.030210652159917993,0.10221156936587894,68.4861655663932,24.803962443376058,93.31129443202445,0.3344980172849444,0.1421298219044069,0.5233721608106487
uv_radiation_3_seg002,uv_radiation,3.csv,3,2,1891.0,processed/segments/uv_radiation/3_seg002.npy,0.07922181183811294,0.021452732010367053,0.06687250795305132,64.681194502715,18.782367123102624,59.47425482106898,0.39905884468516933,0.13516644999848873,0.465774705316342
uv_radiation_4_seg000,uv_radiation,4.csv,4,3,952.0,processed/segments/uv_radiation/4_seg000.npy,0.09012516858568152,0.04504947665946163,0.10055424073745022,70.73590241172036,28.60210119204747,86.40787132403521,0.35761409304883884,0.2082704291145655,0.43411547783659576
uv_radiation_4_seg001,uv_radiation,4.csv,4,3,973.0,processed/segments/uv_radiation/4_seg001.npy,0.10115356880578054,0.02272649650175763,0.0769124672381457,82.29650368170618,19.201993720375278,74.35831542738396,0.4662775713733731,0.1227572707878503,0.4109651578387767
uv_radiation_4_seg002,uv_radiation,4.csv,4,3,1290.0,processed/segments/uv_radiation/4_seg002.npy,0.09070733348397746,0.018074676212902402,0.06865348967795078,76.75508983630813,16.207033029547585,65.55360924514267,0.46275073021982327,0.11314310045837665,0.42410616932180006
