seg_id,env,source_file,gesture_name,label,duration_ms,npy_path,MAV_CH1,MAV_CH3,MAV_CH5,WL_CH1,WL_CH3,WL_CH5,Ratio_CH1,Ratio_CH3,Ratio_CH5
wind_noise_1_seg000,wind_noise,1.csv,1,0,336.0,processed/segments/wind_noise/1_seg000.npy,0.024134137594940118,0.009093507007432297,0.025397662460297954,19.07464833484976,9.09405652550938,22.60871056972265,0.4229827934181232,0.14471920023695178,0.43229800634492493
wind_noise_1_seg001,wind_noise,1.csv,1,0,253.0,processed/segments/wind_noise/1_seg001.npy,0.0172281086960591,0.009907177905209749,0.0195566649565442,15.133767722240208,9.382165874210262,18.07893718004046,0.3861859495891233,0.1932560552648916,0.42055799514598513
wind_noise_1_seg002,wind_noise,1.csv,1,0,297.0,processed/segments/wind_noise/1_seg002.npy,0.025944248308847822,0.010289311078129216,0.02407910850752243,20.733826204788247,9.95472540869429,22.391457175350673,0.45998415738588594,0.15877130247358484,0.3812445401405293
wind_noise_1_seg003,wind_noise,1.csv,1,0,547.0,processed/segments/wind_noise/1_seg003.npy,0.012826008372397458,0.007725212346232995,0.013163795694816498,12.394867688334536,7.14714702983654,12.779574865697523,0.4270946218490741,0.20084874677109393,0.37205663137983197
wind_noise_1_seg004,wind_noise,1.csv,1,0,664.0,processed/segments/wind_noise/1_seg004.npy,0.0200913455134831,0.007534788869633823,0.01749659987968245,17.65119456689539,7.13621292602979,16.777887646300748,0.470817049229433,0.14960938988336608,0.3795735608872009
wind_noise_1_seg005,wind_noise,1.csv,1,0,697.0,processed/segments/wind_noise/1_seg005.npy,0.006334415047084518,0.006579124886252185,0.009841222395232514,6.2175779045720265,5.836051282840744,9.017356466222793,0.3212948289142352,0.2676494927172457,0.4110556783685191
wind_noise_1_seg006,wind_noise,1.csv,1,0,622.0,processed/segments/wind_noise/1_seg006.npy,0.018739527415944368,0.00612160182275421,0.017867760315428177,16.903378846883392,5.686765567140066,16.57020092521176,0.4919728937560672,0.12804227336464824,0.37998483287928464
wind_noise_1_seg007,wind_noise,1.csv,1,0,395.0,processed/segments/wind_noise/1_seg007.npy,0.018829466670556953,0.008651976083234569,0.014558255240916263,16.97534759272371,8.387650684378782,14.659902098439616,0.49224235079382367,0.18305975337239577,0.32469789583378056
wind_noise_1_seg008,wind_noise,1.csv,1,0,251.0,processed/segments/wind_noise/1_seg008.npy,0.02283461871721817,0.008356893635257899,0.02003079847019344,19.329394732375185,8.254842059892686,18.095284981823294,0.48990411734790085,0.1543703172252294,0.35572556542686967
wind_noise_1_seg009,wind_noise,1.csv,1,0,159.0,processed/segments/wind_noise/1_seg009.npy,0.018948567274896837,0.008882587641482835,0.018902640840988277,19.01839492278907,7.342951443030787,18.118515379940977,0.4188972740239541,0.1753139749804579,0.4057887509955879
wind_noise_1_seg010,wind_noise,1.csv,1,0,197.0,processed/segments/wind_noise/1_seg010.npy,0.027964194644999205,0.009044100415053038,0.01930387061106195,22.736511953749027,8.74392278815899,17.8800334902715,0.5058847357084858,0.15811889651970124,0.33599636777181285
wind_noise_1_seg011,wind_noise,1.csv,1,0,369.0,processed/segments/wind_noise/1_seg011.npy,0.021767440850644193,0.008589282815837032,0.01817854683444745,20.157573342862893,7.9171341725844435,17.275685400731653,0.4771798735731839,0.16771167423949052,0.3551084521873256
wind_noise_1_seg012,wind_noise,1.csv,1,0,143.0,processed/segments/wind_noise/1_seg012.npy,0.025944654611821646,0.007466200638308773,0.0205704745056861,21.604799750046165,7.6954215561312465,19.483250117698397,0.479868652105125,0.13749340908757737,0.38263793880729746
wind_noise_1_seg013,wind_noise,1.csv,1,0,318.0,processed/segments/wind_noise/1_seg013.npy,0.019978962868917427,0.00794926427578571,0.015302020326323038,19.755435340225354,7.024610344865066,15.238211000875372,0.5097315919716228,0.16440587246112523,0.32586253556725203
wind_noise_1_seg014,wind_noise,1.csv,1,0,730.0,processed/segments/wind_noise/1_seg014.npy,0.007868354192691768,0.005356195072306796,0.006997844505751515,7.358934000808826,4.7422395869677825,6.9053305936820095,0.43086942027493697,0.248605744384514,0.320524835340549
wind_noise_1_seg015,wind_noise,1.csv,1,0,741.0,processed/segments/wind_noise/1_seg015.npy,0.00835667679131413,0.0037161157301335225,0.007726831000935171,7.6802468850056345,2.3424674405109998,7.837822083967012,0.4159953853310337,0.20188261418061063,0.3821220004883557
wind_noise_1_seg016,wind_noise,1.csv,1,0,526.0,processed/segments/wind_noise/1_seg016.npy,0.018775068373749013,0.008014405840863562,0.01549089517908656,16.882740736256537,6.6938350643055475,13.723491934526717,0.4808335875213958,0.17090968267902762,0.34825672979957656
