2.27203,1.65649,1.71204,1.65741,1.73737,1.65039,1.65771,1.65344
2.19299,1.65649,1.71539,1.65741,1.72546,1.65070,1.65833,1.65344
1.84448,1.65619,1.70624,1.65741,1.67847,1.65070,1.65802,1.65314
1.41205,1.65619,1.67694,1.65741,1.60614,1.65070,1.65771,1.65314
1.32568,1.65619,1.66504,1.65710,1.61285,1.65070,1.65802,1.65344
1.30371,1.65649,1.65680,1.65741,1.63239,1.65070,1.65833,1.65344
1.32080,1.65649,1.65100,1.65771,1.64703,1.65100,1.65863,1.65375
1.25885,1.65649,1.64520,1.65771,1.61438,1.65100,1.65833,1.65344
1.26709,1.65649,1.64215,1.65771,1.68091,1.65070,1.65802,1.65344
1.35742,1.65558,1.63879,1.65680,1.68365,1.65009,1.65741,1.65283
1.32568,1.65588,1.62994,1.65680,1.60858,1.65009,1.65741,1.65283
1.28052,1.65680,1.62201,1.65802,1.57196,1.65131,1.65863,1.65405
1.33911,1.64398,1.60950,1.64551,1.56433,1.63849,1.64612,1.64124
1.53015,1.64429,1.62170,1.64551,1.58539,1.63879,1.64612,1.64185
1.48285,1.65802,1.62598,1.65894,1.56403,1.65253,1.65985,1.65497
1.70471,1.65802,1.63483,1.65924,1.58508,1.65253,1.66016,1.65527
1.88782,1.65802,1.65436,1.65924,1.65771,1.65253,1.66016,1.65527
2.20978,1.65771,1.68579,1.65894,1.75262,1.65222,1.65955,1.65466
2.37366,1.65771,1.70776,1.65863,1.76361,1.65192,1.65955,1.65466
2.29706,1.65741,1.71631,1.65863,1.81854,1.65192,1.65924,1.65436
2.27417,1.65741,1.72119,1.65833,1.77917,1.65161,1.65894,1.65466
2.19666,1.65710,1.72180,1.65833,1.71722,1.65131,1.65894,1.65436
1.84906,1.65649,1.70380,1.65741,1.69739,1.65100,1.65833,1.65344
1.42273,1.65649,1.67450,1.65741,1.60400,1.65100,1.65833,1.65344
1.33240,1.65619,1.66656,1.65710,1.62506,1.65070,1.65802,1.65344
1.29639,1.64703,1.63849,1.64825,1.59149,1.64154,1.64886,1.64429
1.31775,1.65222,1.62994,1.65344,1.55518,1.64673,1.65405,1.64948
1.25885,1.65680,1.63788,1.65771,1.59668,1.65131,1.65863,1.65375
1.25916,1.65771,1.65253,1.65863,1.71936,1.65222,1.65955,1.65497
1.34216,1.65802,1.63757,1.65894,1.61102,1.65253,1.65985,1.65527
1.31866,1.65802,1.64154,1.65924,1.65649,1.65222,1.65985,1.65527
1.28967,1.65771,1.65344,1.65924,1.79596,1.65253,1.65985,1.65497
1.35162,1.65802,1.63483,1.65894,1.62323,1.65222,1.65955,1.65497
1.53931,1.65771,1.62933,1.65863,1.54327,1.65222,1.65955,1.65466
1.49078,1.65771,1.62659,1.65894,1.51550,1.65222,1.65955,1.65466
1.70288,1.65741,1.63666,1.65833,1.59546,1.65161,1.65924,1.65466
1.88812,1.65710,1.65314,1.65833,1.62811,1.65161,1.65894,1.65405
2.20642,1.65710,1.66901,1.65833,1.69220,1.65161,1.65894,1.65405
2.37244,1.65710,1.69220,1.65802,1.74957,1.65131,1.65894,1.65405
2.30865,1.65741,1.70563,1.65833,1.75262,1.65161,1.65924,1.65436
2.27692,1.65710,1.71234,1.65802,1.76025,1.65131,1.65863,1.65405
2.19269,1.65680,1.72882,1.65771,1.74286,1.65131,1.65863,1.65405
1.85272,1.65680,1.70990,1.65771,1.64154,1.65100,1.65833,1.65375
1.42151,1.65649,1.67603,1.65771,1.58081,1.65100,1.65863,1.65405
1.32324,1.65710,1.66687,1.65802,1.64093,1.65161,1.65894,1.65405
1.30432,1.65649,1.66351,1.65771,1.65771,1.65100,1.65833,1.65375
1.32416,1.65649,1.64581,1.65771,1.60828,1.65100,1.65833,1.65375
1.25916,1.65649,1.64490,1.65771,1.61804,1.65100,1.65833,1.65375
1.26129,1.65649,1.64581,1.65741,1.60980,1.65100,1.65833,1.65375
1.34674,1.65680,1.64124,1.65771,1.66565,1.65131,1.65833,1.65375
1.31866,1.65649,1.63940,1.65771,1.66412,1.65100,1.65833,1.65344
1.29150,1.65649,1.62628,1.65771,1.61072,1.65100,1.65833,1.65375
1.35223,1.65649,1.62354,1.65771,1.67847,1.65100,1.65833,1.65375
1.53229,1.65649,1.63055,1.65771,1.68427,1.65070,1.65802,1.65344
1.47888,1.65619,1.62537,1.65771,1.58203,1.65100,1.65802,1.65344
1.70227,1.65649,1.63300,1.65741,1.60370,1.65070,1.65833,1.65344
1.88263,1.65619,1.65009,1.65741,1.62933,1.65100,1.65833,1.65344
2.21130,1.65649,1.67480,1.65741,1.69525,1.65070,1.65833,1.65344
2.37213,1.65649,1.69464,1.65741,1.71448,1.65070,1.65833,1.65344
2.29553,1.65527,1.70563,1.65649,1.70654,1.64948,1.65710,1.65253
2.27356,1.65527,1.71661,1.65649,1.72882,1.64978,1.65710,1.65253
2.19971,1.65619,1.72150,1.65741,1.71417,1.65070,1.65802,1.65314
1.85059,1.65649,1.70868,1.65771,1.68182,1.65100,1.65833,1.65344
1.42365,1.65649,1.67603,1.65771,1.61865,1.65100,1.65833,1.65375
1.33057,1.65649,1.66473,1.65771,1.63483,1.65100,1.65833,1.65375
1.30219,1.65649,1.65314,1.65771,1.63666,1.65100,1.65833,1.65344
1.32385,1.65649,1.64429,1.65741,1.59729,1.65100,1.65833,1.65375
1.25763,1.65619,1.64490,1.65741,1.59821,1.65070,1.65802,1.65375
1.26099,1.65649,1.63879,1.65741,1.59943,1.65100,1.65833,1.65375
1.34277,1.65649,1.63788,1.65741,1.63483,1.65100,1.65833,1.65344
1.31622,1.65680,1.64307,1.65771,1.69128,1.65131,1.65863,1.65375
1.28967,1.65680,1.63452,1.65771,1.68304,1.65131,1.65863,1.65375
1.35590,1.65649,1.62811,1.65771,1.65680,1.65100,1.65833,1.65375
1.53442,1.65680,1.63940,1.65771,1.63605,1.65100,1.65833,1.65375
1.47766,1.65649,1.62476,1.65741,1.56952,1.65070,1.65802,1.65344
1.70502,1.65649,1.63635,1.65741,1.60522,1.65070,1.65802,1.65344
1.88385,1.65649,1.65497,1.65771,1.66046,1.65100,1.65833,1.65375
2.21375,1.65649,1.68304,1.65771,1.73279,1.65100,1.65863,1.65375
2.36816,1.65649,1.69861,1.65741,1.73676,1.65070,1.65833,1.65375
2.29553,1.65619,1.70654,1.65741,1.71570,1.65070,1.65833,1.65344
2.27386,1.65649,1.70441,1.65771,1.67389,1.65100,1.65833,1.65375
2.20459,1.65649,1.71051,1.65741,1.67328,1.65070,1.65833,1.65344
1.84998,1.65619,1.70227,1.65741,1.65558,1.65070,1.65802,1.65314
1.42059,1.65649,1.66840,1.65771,1.60553,1.65100,1.65833,1.65375
1.32843,1.65649,1.65955,1.65771,1.64307,1.65100,1.65833,1.65344
1.30646,1.65619,1.67389,1.65710,1.81091,1.65070,1.65802,1.65314
1.33057,1.65649,1.67267,1.65741,1.68976,1.65070,1.65833,1.65344
1.25671,1.65619,1.65131,1.65741,1.55914,1.65100,1.65833,1.65344
1.25275,1.65649,1.64825,1.65771,1.60339,1.65100,1.65833,1.65375
1.34460,1.65649,1.65039,1.65771,1.64673,1.65100,1.65833,1.65375
1.33423,1.65649,1.63818,1.65771,1.66077,1.65100,1.65833,1.65344
1.29639,1.65649,1.61499,1.65741,1.57410,1.65070,1.65833,1.65344
1.34674,1.65619,1.60736,1.65710,1.55182,1.65070,1.65802,1.65344
1.52832,1.65619,1.62231,1.65771,1.61102,1.65070,1.65833,1.65375
1.48071,1.65649,1.62292,1.65741,1.59241,1.65070,1.65802,1.65344
1.70013,1.65649,1.63422,1.65710,1.63574,1.65070,1.65802,1.65314
1.88080,1.65649,1.64917,1.65771,1.67999,1.65100,1.65833,1.65344
2.20886,1.65619,1.68488,1.65741,1.71814,1.65070,1.65802,1.65344
2.36908,1.65619,1.70532,1.65741,1.73645,1.65070,1.65833,1.65344
2.29462,1.65649,1.71478,1.65771,1.74774,1.65100,1.65833,1.65344
2.26746,1.65588,1.71936,1.65741,1.77094,1.65039,1.65802,1.65314
2.19727,1.65619,1.71906,1.65741,1.72058,1.65070,1.65833,1.65344
1.86188,1.65619,1.70715,1.65741,1.68152,1.65070,1.65833,1.65314
1.43158,1.65619,1.67084,1.65741,1.58539,1.65070,1.65802,1.65344
1.32629,1.65649,1.65619,1.65771,1.55823,1.65100,1.65833,1.65375
1.30157,1.65649,1.65405,1.65741,1.57928,1.65070,1.65833,1.65344
1.31866,1.65619,1.66168,1.65710,1.62903,1.65070,1.65802,1.65344
1.24756,1.65619,1.65283,1.65741,1.67023,1.65070,1.65833,1.65375
1.25702,1.65649,1.64978,1.65741,1.73981,1.65070,1.65833,1.65344
1.34644,1.65588,1.63727,1.65680,1.68152,1.65009,1.65741,1.65283
1.33453,1.65558,1.62964,1.65680,1.60034,1.65009,1.65741,1.65253
1.31165,1.65649,1.62872,1.65741,1.58142,1.65070,1.65802,1.65344
1.35529,1.65649,1.62415,1.65771,1.57532,1.65100,1.65833,1.65344
1.52130,1.65649,1.62292,1.65771,1.61194,1.65100,1.65833,1.65344
1.45966,1.64368,1.60736,1.64490,1.57776,1.63788,1.64551,1.64063
1.68549,1.64459,1.62628,1.64581,1.61407,1.63910,1.64612,1.64154
1.88354,1.65833,1.65619,1.65955,1.65009,1.65283,1.65985,1.65527
2.21008,1.65802,1.67969,1.65924,1.72333,1.65253,1.66016,1.65527
2.37213,1.65802,1.70197,1.65894,1.75934,1.65222,1.65985,1.65497
2.30011,1.65771,1.71448,1.65894,1.76178,1.65222,1.65955,1.65466
2.27112,1.65771,1.71539,1.65863,1.74347,1.65222,1.65955,1.65466
2.19849,1.65771,1.71906,1.65863,1.70990,1.65161,1.65924,1.65436
1.85150,1.65741,1.70441,1.65833,1.66870,1.65161,1.65924,1.65436
1.42426,1.65741,1.67572,1.65833,1.63025,1.65161,1.65894,1.65466
1.33392,1.65741,1.67206,1.65863,1.65405,1.65192,1.65924,1.65466
1.30859,1.65680,1.66260,1.65802,1.65070,1.65131,1.65863,1.65405
1.32385,1.65710,1.65222,1.65833,1.63330,1.65161,1.65894,1.65405
1.25977,1.65680,1.64063,1.65802,1.61011,1.65131,1.65863,1.65405
1.25977,1.65619,1.63452,1.65741,1.60370,1.65070,1.65802,1.65344
1.34613,1.65710,1.63330,1.65802,1.60736,1.65131,1.65863,1.65405
1.31866,1.65680,1.63635,1.65741,1.60950,1.65100,1.65863,1.65375
1.28967,1.65619,1.62506,1.65771,1.60156,1.65100,1.65833,1.65344
1.35315,1.65649,1.62323,1.65741,1.60919,1.65100,1.65833,1.65344
1.53168,1.65680,1.62964,1.65771,1.63727,1.65100,1.65833,1.65375
1.47888,1.65649,1.63055,1.65771,1.60339,1.65100,1.65833,1.65375
1.70074,1.65649,1.64276,1.65771,1.64124,1.65100,1.65833,1.65375
